Company,Warehouse Address,State,Source,Type,Latitude,Longitude
Owens & Minor Inc,"9120 Lockwood Blvd, Mechanicsville, VA 23116",Virginia,,Potential,37.645575,-77.408569
Owens & Minor,"437 Tower Blvd, Carol Stream, IL 60188",Illinois,,Potential,41.920689,-88.104581
Owens & Minor,"25 Heywood Rd, Arden, NC 28704",North Carolina,,Potential,35.470365,-82.526116
Owens & Minor - Atlanta Distribution Center,"3375 Cobb International Dr, Kennesaw, GA 30152",Georgia,,Potential,34.001251,-84.611067
Owens & Minor - Houston Distribution Center,"2700 Brittmoore Rd, Houston, TX 77043",Texas,,Potential,29.821835,-95.568776
Owens & Minor - Raleigh Distribution Center,"4200 Global St, Raleigh, NC 27610",North Carolina,,Potential,35.781608,-78.568138
Owens & Minor - Detroit Distribution Center,"36663 Van Born Rd, Romulus, MI 48174",Michigan,,Potential,42.266198,-83.400951
Owens & Minor - Cleveland Distribution Center,"1160 Marquette St, Cleveland, OH 44114",Ohio,,Potential,41.524954,-81.655499
Owens & Minor - Pittsburgh Distribution Center,"134 Industrial Park Rd # 1000, Greensburg, PA 15601",Pennsylvania,,Potential,40.31062,-79.49335
Owens & Minor- Richmond Distribution Center,"11900 N Lakeridge Pkwy, Ashland, VA 23005",Virginia,,Potential,37.728528,-77.460049
Owens & Minor - Des Moines Distribution Center,"1601 SE Gateway Dr, Grimes, IA 50111",Iowa,,Potential,41.674849,-93.776455
Owens & Minor - Salt Lake City Distribution Center,"2475 S 3200 W # A, West Valley City, UT 84119",Utah,,Potential,40.71646,-111.96638
Owens & Minor - New Orleans Distribution Center,"310 James Dr E, Kenner, LA 70062",Louisiana,,Potential,29.982007,-90.26719
Cardinal Health,"65 Olde Roberts Street, East Hartford, CT 06108",Connecticut,,Potential,41.772138,-72.607924
Medline,"41980 Winchester Rd, Temecula, CA 92590",California,,Potential,33.514489,-117.172172
Medline Industries,"1 Medline Dr, Wilmer, TX 75172",Texas,,Potential,32.617481,-96.687522
Medline C75 Warehouse,"3770 Hogum Bay Ln NE, Lacey, WA 98516",Washington,,Potential,47.087077,-122.763302
Medline Industries Inc,"8787 W Buckeye Rd, Tolleson, AZ 85353",Arizona,,Potential,33.435599,-112.249725
